Approved symbol,Approved name,Accession numbers,RefSeq IDs
AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",BC078663,NM_000028
AGMAT,agmatinase (putative),AY057097,NM_024758
AGMO,alkylglycerol monooxygenase,,NM_001004320
AGO1,argonaute RISC component 1,AF093097
AGO2,argonaute RISC catalytic component 2,AF121255,NM_012154
AGO3,argonaute RISC catalytic component 3,AB046787,NM_024852
AGO4,argonaute RISC component 4,AB046787,NM_017629
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,U56417,NM_006411
AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,AF000237,NM_006412
AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,AF156774,NM_020132
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,AF156776,NM_020133
AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5,AF375789,NM_018361
AGPS,alkylglycerone phosphate synthase,Y09443
AGR2,"anterior gradient 2, protein disulphide isomerase family member",AF038451,NM_006408
AGR3,"anterior gradient 3, protein disulphide isomerase family member",AY069977,NM_176813
AGRN,agrin,,NM_198576
AGRP,agouti related neuropeptide,U88063
AGT,angiotensinogen,K02215,NM_000029
AGTPBP1,ATP/GTP binding carboxypeptidase 1,AB028958,NM_015239
AGTR1,angiotensin II receptor type 1,M87290
AGTR2,angiotensin II receptor type 2,AY324607,NM_000686
AGTRAP,angiotensin II receptor associated protein,AF165187,NM_020350
AGXT,alanine--glyoxylate aminotransferase,D13368,NM_000030
AGXT2,alanine--glyoxylate aminotransferase 2,AJ292204,NM_031900
AHCTF1,AT-hook containing transcription factor 1,,NM_015446
AHCY,adenosylhomocysteinase,M61832,NM_000687
AHCYL1,adenosylhomocysteinase like 1,U82761
AHCYL2,adenosylhomocysteinase like 2,AB020635
AHDC1,AT-hook DNA binding motif containing 1,AK125431
AHI1,Abelson helper integration site 1,AJ459824,NM_017651
AHNAK,AHNAK nucleoprotein,M80899,NM_024060
AHNAK2,AHNAK nucleoprotein 2,AB095939,NM_138420
AHR,aryl hydrocarbon receptor,L19872,NM_001621
AHRR,aryl hydrocarbon receptor repressor,AB033060,NM_020731
AHSA1,activator of HSP90 ATPase activity 1,AJ243310,NM_012111
AHSG,alpha 2-HS glycoprotein,"D67013, M16961",NM_001622
AHSP,alpha hemoglobin stabilizing protein,AF208865,NM_016633
AICDA,activation induced cytidine deaminase,AB040430,NM_020661
AIDA,"axin interactor, dorsalization associated",BC043142,NM_022831
AIF1,allograft inflammatory factor 1,U19713
AIF1L,allograft inflammatory factor 1 like,AL136566,NM_031426
AIFM1,apoptosis inducing factor mitochondria associated 1,AF100928
AIFM2,apoptosis inducing factor mitochondria associated 2,AK027403,NM_032797
AIFM3,apoptosis inducing factor mitochondria associated 3,AK094844,NM_144704
AIG1,androgen induced 1,AF153605,NM_016108
AIM2,absent in melanoma 2,AF024714,NM_004833
AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,U10117,NM_004757
AIMP2,aminoacyl tRNA synthetase complex interacting multifunctional protein 2,U24169,NM_006303
AIP,aryl hydrocarbon receptor interacting protein,U31913
AIPL1,aryl hydrocarbon receptor interacting protein like 1,AF148864,NM_014336
AIRE,autoimmune regulator,AB006684
AIRIM,AFG2 interacting ribosome maturation factor,AK000515,NM_017850
AJAP1,adherens junctions associated protein 1,AF175409,NM_018836
AJM1,apical junction component 1 homolog,,NM_001080482
AJUBA,ajuba LIM protein,AK025567
AK1,adenylate kinase 1,J04809
AK2,adenylate kinase 2,U84371,NM_001625
AK3,adenylate kinase 3,BC013771,NM_016282
AK4,adenylate kinase 4,AK025926,NM_013410
AK5,adenylate kinase 5,AF062595,NM_174858
AK6,adenylate kinase 6,,NM_016283
AK7,adenylate kinase 7,AK057426
AK8,adenylate kinase 8,AK093446,NM_152572
AK9,adenylate kinase 9,"AK131244, BC146443, BC087860",NM_001145128
AKAIN1,A-kinase anchor inhibitor 1,,NM_001145194
AKAP1,A-kinase anchoring protein 1,X97335
AKAP3,A-kinase anchoring protein 3,U85715,NM_006422
AKAP4,A-kinase anchoring protein 4,AF072756,NM_003886
AKAP5,A-kinase anchoring protein 5,M90359
AKAP6,A-kinase anchoring protein 6,AB002309,NM_004274
AKAP7,A-kinase anchoring protein 7,AF047715,NM_004842
AKAP8,A-kinase anchoring protein 8,Y11997,NM_005858
AKAP8L,A-kinase anchoring protein 8 like,BC000713,NM_014371
AKAP9,A-kinase anchoring protein 9,AF091711,NM_005751
AKAP10,A-kinase anchoring protein 10,AF037439,NM_007202
AKAP11,A-kinase anchoring protein 11,AB014529,NM_016248
AKAP12,A-kinase anchoring protein 12,U81607
AKAP13,A-kinase anchoring protein 13,M90360,NM_007200
AKAP14,A-kinase anchoring protein 14,AF514780,NM_178813
AKAP17A,A-kinase anchoring protein 17A,L03426,NM_005088
AKD2,"symbol withdrawn, see [HGNC:33814](/data/gene-symbol-report/#!/hgnc_id/HGNC:33814)"
AKIP1,A-kinase interacting protein 1,AF512007,NM_020642
AKIRIN1,akirin 1,AK022728,NM_024595
AKIRIN2,akirin 2,BC000764,NM_018064
AKNA,AT-hook transcription factor,AK024431,NM_030767
AKNAD1,AKNA domain containing 1,AK095517,NM_152763
AKR1A1,aldo-keto reductase family 1 member A1,J04794,NM_006066
AKR1B1,aldo-keto reductase family 1 member B,J04795,NM_001628
AKR1B10,aldo-keto reductase family 1 member B10,AF052577,NM_020299
AKR1B15,aldo-keto reductase family 1 member B15
AKR1C1,aldo-keto reductase family 1 member C1,D26124,NM_001353
AKR1C2,aldo-keto reductase family 1 member C2,L32592,NM_001354
AKR1C3,aldo-keto reductase family 1 member C3,L43839,NM_003739
AKR1C4,aldo-keto reductase family 1 member C4,M33375,NM_001818
AKR1C8,aldo-keto reductase family 1 member C8,,NM_001395972
AKR1D1,aldo-keto reductase family 1 member D1,Z28339,NM_005989
AKR1E2,aldo-keto reductase family 1 member E2,AB040820,NM_031436
AKR7A2,aldo-keto reductase family 7 member A2,AF026947,NM_003689
AKR7A3,aldo-keto reductase family 7 member A3,AF040639,NM_012067
AKR7L,aldo-keto reductase family 7 like (gene/pseudogene),,NM_201252
AKT1,AKT serine/threonine kinase 1,M63167,NM_005163
AKT1S1,AKT1 substrate 1,BC022241,NM_032375
AKT2,AKT serine/threonine kinase 2,M77198,NM_001626
AKT3,AKT serine/threonine kinase 3,AF124141,NM_181690
AKTIP,AKT interacting protein,AK023320,NM_022476
ALAD,aminolevulinate dehydratase,M13928,NM_001003945
ALAS1,5'-aminolevulinate synthase 1,X56351
ALAS2,5'-aminolevulinate synthase 2,,NM_000032
ALB,albumin,V00494,NM_000477
ALCAM,activated leukocyte cell adhesion molecule,AK054632,NM_001627
ALDH1A1,aldehyde dehydrogenase 1 family member A1,K03000
ALDH1A2,aldehyde dehydrogenase 1 family member A2,AB015228
ALDH1A3,aldehyde dehydrogenase 1 family member A3,U07919,NM_000693
ALDH1B1,aldehyde dehydrogenase 1 family member B1,M63967
ALDH1L1,aldehyde dehydrogenase 1 family member L1,AF052732,NM_012190
ALDH1L2,aldehyde dehydrogenase 1 family member L2,AK095827,NM_001034173
ALDH2,aldehyde dehydrogenase 2 family member,M26760,NM_000690
ALDH3A1,aldehyde dehydrogenase 3 family member A1,M74542,NM_000691
ALDH3A2,aldehyde dehydrogenase 3 family member A2,L47162
ALDH3B1,aldehyde dehydrogenase 3 family member B1,U10868,NM_000694
ALDH3B2,aldehyde dehydrogenase 3 family member B2,U37519,NM_000695
ALDH4A1,aldehyde dehydrogenase 4 family member A1,U24266
ALDH5A1,aldehyde dehydrogenase 5 family member A1,L34820
ALDH6A1,aldehyde dehydrogenase 6 family member A1,M93405
ALDH7A1,aldehyde dehydrogenase 7 family member A1,S74728,NM_001182
ALDH8A1,aldehyde dehydrogenase 8 family member A1,AL021939
ALDH9A1,aldehyde dehydrogenase 9 family member A1,U34252
ALDH16A1,aldehyde dehydrogenase 16 family member A1,AY007096,NM_153329
ALDH18A1,aldehyde dehydrogenase 18 family member A1,X94453,NM_002860
ALDOA,"aldolase, fructose-bisphosphate A",X05236,NM_000034
ALDOB,"aldolase, fructose-bisphosphate B",X01098
ALDOC,"aldolase, fructose-bisphosphate C",AF054987
ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,AB019038,NM_019109
ALG1L2,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2,BC127756,NM_001136152
ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase",AK027417,NM_033087
ALG3,"ALG3 alpha-1,3- mannosyltransferase",BC002839,NM_005787
ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase,AF088028,NM_013338
ALG6,"ALG6 alpha-1,3-glucosyltransferase",AF063604,NM_013339
ALG8,"ALG8 alpha-1,3-glucosyltransferase",AJ224875,NM_024079
ALG9,"ALG9 alpha-1,2-mannosyltransferase",,NM_024740
ALG10,"ALG10 alpha-1,2-glucosyltransferase",AJ312278,NM_032834
ALG10B,"ALG10 alpha-1,2-glucosyltransferase B",AY845858,NM_001013620
ALG11,"ALG11 alpha-1,2-mannosyltransferase",AK025456,NM_001004127
ALG12,"ALG12 alpha-1,6-mannosyltransferase",AJ303120,NM_024105
ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit,AF220051,NM_018466
ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit,,NM_144988
ALK,ALK receptor tyrosine kinase,D45915,NM_004304
ALKAL1,ALK and LTK ligand 1,,NM_207413
ALKAL2,ALK and LTK ligand 2,,NM_001002919
ALKBH1,"alkB homolog 1, histone H2A dioxygenase",X91992,NM_006020
ALKBH2,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",AY754389,NM_001001655
ALKBH3,"alkB homolog 3, alpha-ketoglutarate dependent dioxygenase",AB042029,NM_139178
ALKBH4,"alkB homolog 4, lysine demethylase",BC017096,NM_017621
ALKBH5,"alkB homolog 5, RNA demethylase",AK000315,NM_017758
ALKBH6,alkB homolog 6,BM713594,NM_032878
ALKBH7,alkB homolog 7,AY427650,NM_032306
ALKBH8,"alkB homolog 8, tRNA methyltransferase",AF086489,NM_138775
ALLC,allantoicase,AF215924
ALMS1,ALMS1 centrosome and basal body associated protein,AB002326,NM_015120
ALOX5,arachidonate 5-lipoxygenase,J03571
ALOX5AP,arachidonate 5-lipoxygenase activating protein,AH001462,NM_001629
ALOX12,"arachidonate 12-lipoxygenase, 12S type",M35418
ALOX12B,"arachidonate 12-lipoxygenase, 12R type",AF038461
ALOX15,arachidonate 15-lipoxygenase,M23892
ALOX15B,arachidonate 15-lipoxygenase type B,U78294
ALOXE3,arachidonate lipoxygenase 3,AJ269499
ALPG,"alkaline phosphatase, germ cell",J04948,NM_031313
ALPI,"alkaline phosphatase, intestinal",M15694,NM_001631
ALPK1,alpha kinase 1,AY044164,NM_025144
ALPK2,alpha kinase 2,AY044450,NM_052947
ALPK3,alpha kinase 3,AY044449,NM_020778
ALPL,"alkaline phosphatase, biomineralization associated",BC021289,NM_000478
ALPP,"alkaline phosphatase, placental",M14169,NM_001632
ALS2,alsin Rho guanine nucleotide exchange factor ALS2,AB053305,NM_020919
ALS2CL,ALS2 C-terminal like,AK074118,NM_147129
ALS2CR6,"symbol withdrawn, see [HGNC:443](/data/gene-symbol-report/#!/hgnc_id/HGNC:443)"
ALS2CR14,"symbol withdrawn, see [HGNC:14442](/data/gene-symbol-report/#!/hgnc_id/HGNC:14442)"
ALS2CR16,"symbol withdrawn, see [HGNC:20681](/data/gene-symbol-report/#!/hgnc_id/HGNC:20681)"
ALS2CR17,"symbol withdrawn, see [HGNC:20681](/data/gene-symbol-report/#!/hgnc_id/HGNC:20681)"
ALX1,ALX homeobox 1,U31986,NM_006982
ALX3,ALX homeobox 3,AF008203,NM_006492
ALX4,ALX homeobox 4,AF294629
ALYREF,Aly/REF export factor,AF047002,NM_005782
AMACR,alpha-methylacyl-CoA racemase,AF047020,NM_014324
AMBN,ameloblastin,AF209780,NM_016519
AMBP,alpha-1-microglobulin/bikunin precursor,X04494,NM_001633
AMBRA1,autophagy and beclin 1 regulator 1,AB051523,NM_017749
AMD1,adenosylmethionine decarboxylase 1,M88006
AMDHD1,amidohydrolase domain containing 1,AB075878,NM_152435
AMDHD2,amidohydrolase domain containing 2,AF132948,NM_015944
AMELX,amelogenin X-linked,,NM_001142
AMELY,amelogenin Y-linked,M86933,NM_001143
AMER1,APC membrane recruitment protein 1,AK097146,NM_152424
AMER2,APC membrane recruitment protein 2,AK055049,NM_152704
AMER3,APC membrane recruitment protein 3,AK095696,NM_152698
AMFR,autocrine motility factor receptor,L35233
AMH,anti-Mullerian hormone,K03474,NM_000479
AMHR2,anti-Mullerian hormone receptor type 2,AF172932,NM_020547
AMIGO1,adhesion molecule with Ig like domain 1,,NM_020703
AMIGO2,adhesion molecule with Ig like domain 2,,NM_181847
AMIGO3,adhesion molecule with Ig like domain 3,,NM_198722
AMMECR1,AMMECR nuclear protein 1,AJ007014
AMMECR1L,AMMECR1 like,,NM_031445
AMN,amnion associated transmembrane protein,AF328788
AMN1,antagonist of mitotic exit network 1 homolog,,NM_001113402
AMOT,angiomotin,AB028994,NM_133265
AMOTL1,angiomotin like 1,AF453742,NM_130847
AMOTL2,angiomotin like 2,AF175966,NM_016201
AMPD1,adenosine monophosphate deaminase 1,M60092
AMPD2,adenosine monophosphate deaminase 2,S47833
AMPD3,adenosine monophosphate deaminase 3,M84722,NM_000480
AMPH,amphiphysin,,NM_001635
AMT,aminomethyltransferase,D13811,NM_000481
AMTN,amelotin,AY358528,NM_212557
AMY1A,amylase alpha 1A,,NM_001008221
AMY1B,amylase alpha 1B,,NM_001008218
AMY1C,amylase alpha 1C,,NM_001008219
AMY2A,amylase alpha 2A,BC007060,NM_000699
AMY2B,amylase alpha 2B,M24895,NM_020978
AMZ1,archaelysin family metallopeptidase 1,AB075830,NM_133463
AMZ2,archaelysin family metallopeptidase 2,CR609550,NM_016627
ANAPC1,anaphase promoting complex subunit 1,AJ278357,NM_022662
ANAPC2,anaphase promoting complex subunit 2,AB037827,NM_013366
ANAPC4,anaphase promoting complex subunit 4,AF191338,NM_013367
ANAPC5,anaphase promoting complex subunit 5,AF191339
ANAPC7,anaphase promoting complex subunit 7,AF191340,NM_016238
ANAPC10,anaphase promoting complex subunit 10,AF132794,NM_014885
ANAPC11,anaphase promoting complex subunit 11,AF247565,NM_016476
ANAPC13,anaphase promoting complex subunit 13,AF086169,NM_015391
ANAPC15,anaphase promoting complex subunit 15,AL080071,NM_014042
ANAPC16,anaphase promoting complex subunit 16,BC009530,NM_173473
ANG,angiogenin,,NM_001097577
ANGEL1,angel homolog 1,AF111169,NM_015305
ANGEL2,angel homolog 2,AL079275,NM_144567
ANGPT1,angiopoietin 1,D13628,"NM_001146, NM_139290"
ANGPT2,angiopoietin 2,AF004327,NM_001147
ANGPT4,angiopoietin 4,AF074332,NM_015985
ANGPTL1,angiopoietin like 1,AF107253,NM_004673
ANGPTL2,angiopoietin like 2,AF125175,NM_012098
ANGPTL3,angiopoietin like 3,AF152562,NM_014495
ANGPTL4,angiopoietin like 4,AF202636,NM_139314
ANGPTL5,angiopoietin like 5,BC049170,NM_178127
ANGPTL6,angiopoietin like 6,AB054064,NM_031917
ANGPTL7,angiopoietin like 7,Y16132,NM_021146
ANGPTL8,angiopoietin like 8,,NM_018687
ANHX,anomalous homeobox
ANK1,ankyrin 1,M28880,NM_020475
ANK2,ankyrin 2,M37123,NM_001148
ANK3,ankyrin 3,U13616,NM_020987
ANKAR,ankyrin and armadillo repeat containing,AJ549812,NM_144708
ANKDD1A,ankyrin repeat and death domain containing 1A,,NM_182703
ANKDD1B,ankyrin repeat and death domain containing 1B,,NM_001276713
ANKEF1,ankyrin repeat and EF-hand domain containing 1,AK025322,NM_022096
ANKFN1,ankyrin repeat and fibronectin type III domain containing 1,AK095654,NM_153228
ANKFY1,ankyrin repeat and FYVE domain containing 1,AB033081,NM_016376
ANKH,ANKH inorganic pyrophosphate transport regulator,AF274753,NM_054027
ANKHD1,ankyrin repeat and KH domain containing 1,AF521882,NM_017747
ANKIB1,ankyrin repeat and IBR domain containing 1,AB037807
ANKK1,ankyrin repeat and kinase domain containing 1,AJ541797,NM_178510
ANKLE1,ankyrin repeat and LEM domain containing 1,AK096688,NM_152363
ANKLE2,ankyrin repeat and LEM domain containing 2,AB014592
ANKMY1,ankyrin repeat and MYND domain containing 1,AB034636,NM_017844
ANKMY2,ankyrin repeat and MYND domain containing 2,AK001740,NM_020319
ANKRA2,ankyrin repeat family A member 2,AA442702,NM_023039
ANKRD1,ankyrin repeat domain 1,X83703,NM_014391
ANKRD2,ankyrin repeat domain 2,AJ304805
ANKRD6,ankyrin repeat domain 6,AB023174
ANKRD7,ankyrin repeat domain 7,D78334,NM_001077708
ANKRD9,ankyrin repeat domain 9,BC015422
ANKRD10,ankyrin repeat domain 10,AK000100
ANKRD11,ankyrin repeat domain containing 11,AY373756,NM_013275
ANKRD12,ankyrin repeat domain 12,AY373757,NM_015208
ANKRD13A,ankyrin repeat domain 13A,AF064604,NM_033121
ANKRD13B,ankyrin repeat domain 13B,AK092673,NM_152345
ANKRD13C,ankyrin repeat domain 13C,,NM_030816
ANKRD13D,ankyrin repeat domain 13D,AK027313,NM_207354
ANKRD14,"symbol withdrawn, see [HGNC:26724](/data/gene-symbol-report/#!/hgnc_id/HGNC:26724)"
ANKRD16,ankyrin repeat domain 16,AL137614,NM_019046
ANKRD17,ankyrin repeat domain 17,AB014597,NM_032217
ANKRD18A,ankyrin repeat domain 18A,AB095935
ANKRD18B,ankyrin repeat domain 18B,,NM_001244752
ANKRD20A1,ankyrin repeat domain 20 family member A1,AL136793
ANKRD22,ankyrin repeat domain 22,BC021671,NM_144590
ANKRD23,ankyrin repeat domain 23,,NM_144994
ANKRD24,ankyrin repeat domain 24,AB075861,NM_133475
ANKRD26,ankyrin repeat domain containing 26,AB028997,NM_014915
ANKRD27,ankyrin repeat domain 27,AK054561,NM_032139
ANKRD28,ankyrin repeat domain 28,AY367056,NM_015199
ANKRD29,ankyrin repeat domain 29,AK057782,NM_173505
ANKRD30A,ankyrin repeat domain 30A,AF269087,NM_052997
ANKRD30B,ankyrin repeat domain 30B,BC028407,NM_001367607
ANKRD30BL,ankyrin repeat domain 30B like,,NM_001358416
ANKRD31,ankyrin repeat domain 31,AK097510,NM_001164443
ANKRD33,ankyrin repeat domain 33,,NM_182608
ANKRD33B,ankyrin repeat domain 33B,,NM_001164440
ANKRD34A,ankyrin repeat domain 34A,AK128050
ANKRD34B,ankyrin repeat domain 34B,,NM_001004441
ANKRD34C,ankyrin repeat domain 34C,,NM_001146341
ANKRD35,ankyrin repeat domain 35,AK091120,NM_144698
ANKRD36,ankyrin repeat domain 36,BC046186
ANKRD36B,ankyrin repeat domain 36B,AK024934,NM_025190
ANKRD36C,ankyrin repeat domain 36C,AL832836,NM_001010914
ANKRD37,ankyrin repeat domain 37,AY296056,NM_181726
ANKRD39,ankyrin repeat domain 39,BC031303,NM_016466
ANKRD40,ankyrin repeat domain 40,BC012978,NM_052855
ANKRD40CL,ANKRD40 C-terminal like,AK000701,NM_001358683
ANKRD42,ankyrin repeat domain 42,AK095193,NM_182603
ANKRD44,ankyrin repeat domain 44,AK097086,NM_153697
ANKRD45,ankyrin repeat domain 45,,NM_198493
ANKRD46,ankyrin repeat domain 46,AB077205,NM_198401
ANKRD49,ankyrin repeat domain 49,AF025354,NM_017704
ANKRD50,ankyrin repeat domain containing 50,AB033049,NM_020337
ANKRD52,ankyrin repeat domain 52,AK091555,NM_173595
ANKRD53,ankyrin repeat domain 53,BC035234,NM_024933
ANKRD54,ankyrin repeat domain 54,BC014641,NM_138797
ANKRD55,ankyrin repeat domain 55,AK021857,NM_024669
ANKRD60,ankyrin repeat domain 60,AL354776,NM_001304369
ANKRD61,ankyrin repeat domain 61
ANKRD62,ankyrin repeat domain 62,BX648696,NM_001277333
ANKRD63,ankyrin repeat domain 63
ANKRD65,ankyrin repeat domain 65
ANKRD66,ankyrin repeat domain 66,AK304342,NM_001162435
ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A,D86982,NM_015245
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,AF145204,NM_020140
ANKS3,ankyrin repeat and sterile alpha motif domain containing 3,AK057329,NM_133450
ANKS4B,ankyrin repeat and sterile alpha motif domain containing 4B,AK096138,NM_145865
ANKS6,ankyrin repeat and sterile alpha motif domain containing 6,AK094247,NM_173551
ANKUB1,ankyrin repeat and ubiquitin domain containing 1,AK027233,NM_001144960
ANKZF1,ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1,AF364318,NM_018089
ANLN,"anillin, actin binding protein",AF273437,NM_018685
ANO1,anoctamin 1,BC033036,NM_018043
ANO2,anoctamin 2,AJ272204,NM_020373
ANO3,anoctamin 3,AJ300461,NM_031418
ANO4,anoctamin 4,AK091540,NM_178826
ANO5,anoctamin 5,AL833271,NM_213599
ANO6,anoctamin 6,AL832340,NM_001025356
ANO7,anoctamin 7,AY617079,NM_001001891
ANO8,anoctamin 8,AB046843,NM_020959
ANO9,anoctamin 9,U33271,NM_001012302
ANO10,anoctamin 10,AL832508,NM_018075
ANOS1,anosmin 1,,NM_000216
ANP32A,acidic nuclear phosphoprotein 32 family member A,AF025684
ANP32B,acidic nuclear phosphoprotein 32 family member B,Y07969,NM_006401
ANP32D,acidic nuclear phosphoprotein 32 family member D,U71084,NM_012404
ANP32E,acidic nuclear phosphoprotein 32 family member E,AK092672,NM_030920
ANPEP,"alanyl aminopeptidase, membrane",M22324
ANTKMT,adenine nucleotide translocase lysine methyltransferase,BC002624,NM_023933
ANTXR1,ANTXR cell adhesion molecule 1,AF421380,NM_032208
ANTXR2,ANTXR cell adhesion molecule 2,AY040326,NM_058172
ANTXRL,ANTXR like,,NM_001278688
ANXA1,annexin A1,X05908,NM_000700
ANXA2,annexin A2,D00017,NM_001002857
ANXA2R,annexin A2 receptor,BC067873,NM_001014279
ANXA3,annexin A3,M63310,NM_005139
ANXA4,annexin A4,M82809,NM_001153
ANXA5,annexin A5,U05770,NM_001154
ANXA6,annexin A6,J03578,NM_001155
ANXA7,annexin A7,J04543,NM_001156
ANXA8,annexin A8,M81844,NM_001040084
ANXA8L1,annexin A8 like 1
ANXA8L2,"symbol withdrawn, see [HGNC:23334](/data/gene-symbol-report/#!/hgnc_id/HGNC:23334)"
